파일,Step,타이틀,CPT코드,이유,Action(앞80자)
2014/2014.6모A_30.md,2,두 관계식 각각에서 범위 조건으로 유효 순서쌍 개수를 세어 합산하기,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)","[12대수01-02] $n=20m$: $m=1,2,3,4$ → 4쌍. $n=5m$: $m=1,\ldots,19$ → 19쌍. 합$=23$"
2014/2014.9모A_27.md,2,방정식의 근을 이용하여 점의 좌표 구하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] 곡선 함수와 접선 방정식을 연립하여 식의 교점 중 $x \neq -1$ 인 값 찾기
2014/2014.9모A_28.md,3,다항함수의 값을 이용하여 최종값 산출하기,12미적Ⅰ-02-03,"키워드 미매칭 (코드: 12미적Ⅰ-02-03, 키워드: 도함수, 도함수, 미분, f'(x), 도함수를)",[12미적Ⅰ-02-03] 구한 $k$ 를 $f(x)$ 식에 대입해 $f(0)$ 을 확정하고 60 곱셈
2014/2014.9모A_21.md,2,매개변수의 이차함수로 변환하여 닫힌 구간에서 최댓값·최솟값 산출하기,12미적Ⅰ-02-02,"키워드 미매칭 (코드: 12미적Ⅰ-02-02, 키워드: 미분가능성, 연속성, 미분가능성, 연속성, 미분가능)","[12미적Ⅰ-02-02] $a^2+b^2=2r_2^2-2r_2+1$. $r_2=1/2$에서 최소$=1/2$, $r_2=2$에서 최대$=5$. $"
2014/2014.9모A_29.md,1,[그림 n]의 경로 구조 분석으로 점화식 수립,10공수1-03-02,"키워드 미매칭 (코드: 10공수1-03-02, 키워드: 순열, 순열, npr)",[10공수1-03-02] [그림 n]의 최단경로 수 $a_n$을 이전 단계의 경로 수로 표현
2014/2014.9모A_30.md,1,지수 치환으로 이차부등식의 유효 범위를 분석하여 수열의 일반항 확정하기,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)","[12대수01-02] $(2^k-2^n)(2^k-4^n)\leq1$. $n\leq k\leq2n$이면 좌변$\leq0\leq1$. $k=n-1,"
2014/2014수능A_23.md,1,우함수와 기함수의 정적분 성질을 이용하여 식 간단히 하기,12미적Ⅰ-03-05,"키워드 미매칭 (코드: 12미적Ⅰ-03-05, 키워드: 도형의 넓이, 도형의 넓이, 넓이, 곡선으로 둘러싸인, 면적)","[12미적Ⅰ-03-05] 기함수인 홀수차항 $2x$ 의 적분값을 0으로 소거하고, 우함수인 짝수차항 $3x^2$ 에 대하여 $2 \int_0^a"
2014/2014수능A_25.md,2,다항함수의 값을 이용하여 최종 극댓값과 식의 값 계산하기,12미적Ⅰ-02-03,"키워드 미매칭 (코드: 12미적Ⅰ-02-03, 키워드: 도함수, 도함수, 미분, f'(x), 도함수를)",[12미적Ⅰ-02-03] $f(x)$ 식에 구한 $a$ 를 대입하고 $x=1$ 을 넣어 함숫값 $M = f(1)$ 도출 후 $a$ 와 더함
2014/2014수능A_30.md,1,세 경계 곡선의 교점 및 영역 파악으로 격자점 탐색 범위 설정,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)",[12대수01-02] 세 곡선의 교점을 구하여 영역의 경계를 파악
2014/2014수능A_30.md,2,각 정수 x좌표에서 격자점 개수 계산,12대수01-02,"키워드 미매칭 (코드: 12대수01-02, 키워드: 지수의 확장, 유리수 지수, 실수 지수, 지수의 확장, 유리수 지수)","[12대수01-02] 각 정수 $x = 0, 1, 2, 3, 4$에서 $y$의 정수 범위 계산"
2015/2015.6모A_10.md,2,부분합 등치 방정식 풀이로 조건 만족 항수 결정하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] 양변에 분모를 곱하여 $16n = 15(n+1)$ 일차방정식 수립 및 풀이
2015/2015.6모A_14.md,2,속도 함수 영점 조건으로 운동 정지 시각 결정하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] $v(a) = -2a+4 = 0$ 이라는 일차방정식을 풀어 $a$ 선출
2015/2015.6모A_17.md,1,점화식 분수항 분리와 공통인수 묶기로 수열 항 표현식 역산하기,12대수03-04,"키워드 미매칭 (코드: 12대수03-04, 키워드: 시그마, 합의 기호, 시그마, ∑, \sum)","[12대수03-04] 우변의 분수식을 전개하여 좌우변으로 이항한 뒤, $3$ 으로 묶이는 식 $\frac{6}{n!}$ 형태를 찾아내기"
2015/2015.6모A_17.md,3,도출된 함수들에 값을 대입하여 특정 식의 값 도출하기,12대수01-01,"키워드 미매칭 (코드: 12대수01-01, 키워드: 거듭제곱, 거듭제곱근, 거듭제곱근, n제곱근, 제곱근)",[12대수01-01] $f(n) = \frac{2}{n!}$ 와 $g(n) = \left(\frac{3}{2}\right)^{n-1}$ 에 $n
2015/2015.6모A_24.md,1,지수함수의 그래프를 이용하여 최댓값 구하기,12대수01-03,"키워드 미매칭 (코드: 12대수01-03, 키워드: 지수법칙의 활용, 밑의 조건, 지수법칙, 지수방정식, 지수부등식)","[12대수01-03] $f(x)$ 는 밑이 $1$ 보다 커서 증가함수, $g(x)=4^{-x}$ 는 감소함수. $a=f(3)=2^3=8$, $b"
2015/2015.6모A_26.md,2,방정식의 근을 구하여 특정 항의 값 계산하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] 성립된 등식 $a_{n+1} - a_1 = 2n+1$ 에 $n=9$, $a_1=15$ 대입으로 방정식 수립"
2015/2015.6모A_28.md,1,수열의 규칙을 파악하여 주기성 또는 일반항 도출하기,12대수03-06,"키워드 미매칭 (코드: 12대수03-06, 키워드: 귀납적 정의, 점화식, 귀납적 정의, 수학적 귀납법)",[12대수03-06] 첫째항부터 순서대로 대입하여 값이 어떻게 변환되는지 사이클 탐색 실시
2015/2015.6모A_28.md,2,수열의 주기성을 이용하여 식의 값 구하기,12대수03-06,"키워드 미매칭 (코드: 12대수03-06, 키워드: 귀납적 정의, 점화식, 귀납적 정의, 수학적 귀납법)",[12대수03-06] 항 번호 $2015$ 를 주기 $4$ 로 나누어 나머지를 구하고 매칭되는 기본 주기의 항을 채택
2015/2015.6모A_21.md,2,g(x)의 인수 구조 확정으로 g(5) 계산,10공수1-01-03,"키워드 미매칭 (코드: 10공수1-01-03, 키워드: 인수분해, 인수분해, 공통인수)",[10공수1-01-03] $g(x) = (x-1)(x-r)(x-s)$ 형태로 놓고 모든 극한 조건 분석
2015/2015.9모A_11.md,2,평면도형의 넓이 구하기 성질을 이용하여 사각형 넓이 계산하기,10공수2-01-01,"키워드 미매칭 (코드: 10공수2-01-01, 키워드: 선분의 내분, 내분점, 내분점, 중점, 외분점)",[10공수2-01-01] 각 변의 형태를 관찰하여 $\mathrm{AC}$ 와 $\mathrm{DB}$ 가 가로로 평행한 사다리꼴임을 알아내고 
2015/2015.9모A_16.md,2,연속된 곱 연산을 적용하여 수열의 식 증명하기,12대수03-04,"키워드 미매칭 (코드: 12대수03-04, 키워드: 시그마, 합의 기호, 시그마, ∑, \sum)",[12대수03-04] (가)를 기반으로 작성한 $\frac{(k+1)^2}{k}$ 값을 모두 곱해 분모 분자의 팩토리얼 연쇄 소거 확인
2015/2015.9모A_16.md,3,구한 함수들에 값 대입하여 식의 값 구하기,12대수01-01,"키워드 미매칭 (코드: 12대수01-01, 키워드: 거듭제곱, 거듭제곱근, 거듭제곱근, n제곱근, 제곱근)","[12대수01-01] $f(n)=(n+1)^2$ 에 4를, $g(n)=\frac{n}{2}$ 에 20을 대입 후 곱셈"
2015/2015.9모A_17.md,2,이차방정식의 근의 공식을 이용하여 식의 값 구하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] $a(a-4) = -4$ 방정식을 전개하고 완전제곱식을 이용하여 상수 $a$ 결정
2015/2015.9모A_24.md,2,등차수열 대칭쌍 묶기로 특정 구간 항의 합 산출하기,12대수03-03,"키워드 미매칭 (코드: 12대수03-03, 키워드: 등비수열, 일반항, 수열의 합, 등비수열, 공비)",[12대수03-03] 구하려는 $a_2 + a_3 + \dots + a_9$ 를 위에서 찾은 4개의 쌍의 합으로 치환하여 계산
2015/2015.9모A_26.md,1,정적분으로 나타내어진 함수의 미분을 이용하여 함수 도출하기,12미적Ⅰ-03-04,"키워드 미매칭 (코드: 12미적Ⅰ-03-04, 키워드: 부정적분과 정적분의 관계, 부정적분과 정적분, 미적분의 기본정리, 기본정리, 정적분으로 정의된)",[12미적Ⅰ-03-04] 양변을 $x$ 에 대하여 동일하게 미분하여 좌변의 피적분함수 $f(t)$ 를 $f(x)$ 형태로 끄집어냄
2015/2015.9모A_26.md,2,구한 함수에 값을 대입하여 식의 값 구하기,12대수01-01,"키워드 미매칭 (코드: 12대수01-01, 키워드: 거듭제곱, 거듭제곱근, 거듭제곱근, n제곱근, 제곱근)",[12대수01-01] 도출된 $f(x)$ 함수식의 $x$ 자리에 $10$ 을 직대입 연산
2015/2015.9모A_27.md,2,곡선 식에 좌표를 대입하여 좌표 완성하기,12대수01-01,"키워드 미매칭 (코드: 12대수01-01, 키워드: 거듭제곱, 거듭제곱근, 거듭제곱근, n제곱근, 제곱근)",[12대수01-01] $a=1$ 을 원래 곡선의 식 $y$ 에 대입하여 $y$ 좌표인 $b$ 를 찾고 서로 합산
2015/2015.9모A_21.md,1,부등식 경계를 특정 점에 대입하여 경계값 일치를 확인하고 함숫값 결정하기,12미적Ⅰ-01-01,"키워드 미매칭 (코드: 12미적Ⅰ-01-01, 키워드: 함수의 극한, 함수의 극한, 극한, lim, 좌극한)",[12미적Ⅰ-01-01] $x \to 0^+$에서 샌드위치 정리를 적용하여 $f(0)$ 조건과 결합
2015/2015.9모A_21.md,3,확정된 삼차함수에 특정 값 대입하여 함숫값 산출,12미적Ⅰ-02-03,"키워드 미매칭 (코드: 12미적Ⅰ-02-03, 키워드: 도함수, 도함수, 미분, f'(x), 도함수를)",[12미적Ⅰ-02-03] 확정된 $f(x)$에 $x=3$ 대입하여 $f(3) = 27 + 9 + 3 - 3 = 36$ 계산
2015/2015.9모A_29.md,2,확률밀도함수 도출 및 목표 확률 계산,12확통03-02,"키워드 미매칭 (코드: 12확통03-02, 키워드: 기댓값, 표준편차, 이산확률변수, 기댓값, 분산)",[12확통03-02] 누적분포함수를 미분하여 확률밀도함수 $f_X(t)$ 결정 후 적분으로 확률 계산
2015/2015.9모A_30.md,1,곡선과 원의 거리 조건으로 판별 기준 설정,10공수2-01-05,"키워드 미매칭 (코드: 10공수2-01-05, 키워드: 위치 관계, 원과 직선, 원과 직선, 접선, 위치 관계)","[10공수2-01-05] 곡선 위의 점 $(t, 2^t)$에서 원의 중심 $(a, b)$까지의 최소 거리 분석"
2015/2015.9모A_30.md,2,a별 최소 거리 계산 및 유효 b 범위 탐색,12대수01-03,"키워드 미매칭 (코드: 12대수01-03, 키워드: 지수법칙의 활용, 밑의 조건, 지수법칙, 지수방정식, 지수부등식)","[12대수01-03] 각 정수 $a$에 대해 곡선 $y = 2^x$ 위의 점 $(t, 2^t)$에서 $(a, b)$까지 거리가 $[1, 2]$ "
2015/2015.9모A_30.md,3,각 a별 유효 b 개수 합산으로 조건 만족 순서쌍 총계 도출,10공수1-03-01,"키워드 미매칭 (코드: 10공수1-03-01, 키워드: 합의 법칙, 곱의 법칙, 경우의 수, 합의 법칙, 곱의 법칙)",[10공수1-03-01] 각 $a$별 유효 $b$ 개수를 합산
2015/2015수능A_07.md,1,이항정리를 이용하여 항의 계수 구하기,12확통02-06,"키워드 미매칭 (코드: 12확통02-06, 키워드: 확률의 곱셈정리, 확률의 곱셈정리, 곱셈정리)",[12확통02-06] 이항정리의 일반항인 $_{n}C_{r} A^{n-r} B^r$ 공식을 세우고 $x$ 의 차수가 4가 되는 $r$ 을 탐색하
2015/2015수능A_07.md,2,방정식의 근을 구하여 미정계수 확인하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] $15$ 로 양변을 나누고 양수인 제곱근 $a$ 선택
2015/2015수능A_15.md,2,조건을 만족하는 자연수 합산 구하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] $x \le 5$ 를 만족하는 자연수를 나열한 뒤 전부 덧셈
2015/2015수능A_16.md,2,확률의 뺄셈 연산을 이용하여 교집합 여사건 변환하기,12확통02-04,"키워드 미매칭 (코드: 12확통02-04, 키워드: 조건부확률, 조건부확률, p(a|b), p(b|a))",[12확통02-04] 차집합의 성질 $\mathrm{P}(A \cap B^C) = \mathrm{P}(A) - \mathrm{P}(A \cap 
2015/2015수능A_18.md,1,연립방정식을 풀어 특정 변수의 값 확정하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] 두 방정식에 공통으로 들어있는 $x+y+z$ 덩어리를 소거하기 위해 위 식에서 아래 식을 변끼리 뺌
2015/2015수능A_26.md,2,구한 함수에 값을 대입하여 식의 값 구하기,12대수01-01,"키워드 미매칭 (코드: 12대수01-01, 키워드: 거듭제곱, 거듭제곱근, 거듭제곱근, n제곱근, 제곱근)",[12대수01-01] 완벽해진 $f(x)$ 식에 목표 수치인 $1$ 직대입
2015/2015수능A_21.md,2,h(x)의 비음 조건으로 a의 범위 결정,12미적Ⅰ-02-08,"키워드 미매칭 (코드: 12미적Ⅰ-02-08, 키워드: 그래프의 개형, 그래프의 개형, 개형, 오목, 볼록)",[12미적Ⅰ-02-08] $h(x) = f(x) - f'(x)$를 전개하고 $x \geq -1$ 범위에서 비음성 조건 확인
2015/2015수능A_21.md,3,계수 하한 조건에서 a 최솟값 대입으로 f(2) 최솟값 결정,12미적Ⅰ-02-09,"키워드 미매칭 (코드: 12미적Ⅰ-02-09, 키워드: 방정식과 부등식, 문제해결, 방정식과 부등식, 근의 개수, 실근의 개수)",[12미적Ⅰ-02-09] $f(2) = 8 + 10a$를 $a$의 함수로 표현하고 $a$의 최솟값 $a = 4$ 대입하여 $f(2)$ 최솟값 결
2015/2015수능A_27.md,1,확률밀도함수의 전체 면적 조건으로 상수 결정하기,12확통03-01,"키워드 미매칭 (코드: 12확통03-01, 키워드: 확률변수, 확률분포, 확률변수, 확률분포, 이산확률변수)",[12확통03-01] 그래프의 면적을 $k$로 표현하여 $k$ 결정
2015/2015수능A_27.md,2,구간별 확률밀도함수 면적 적분으로 목표 확률 산출,12확통03-01,"키워드 미매칭 (코드: 12확통03-01, 키워드: 확률변수, 확률분포, 확률변수, 확률분포, 이산확률변수)",[12확통03-01] 그래프 면적을 구간별로 계산하여 확률 산출
2015/2015수능A_29.md,2,극값 조건에서 얻은 함숫값과 도함수값으로 목표 식 계산,12미적Ⅰ-02-01,"키워드 미매칭 (코드: 12미적Ⅰ-02-01, 키워드: 미분계수, 순간변화율, 미분계수, 순간변화율, 평균변화율)","[12미적Ⅰ-02-01] 구한 $f(1) = 8$, $f'(1) = -8$ 대입하여 $f(1) - f'(1)$ 계산"
2016/2016.6모A_17.md,1,도함수를 활용하여 방정식의 실근 구비 조건 파악하기,12미적Ⅰ-02-09,"키워드 미매칭 (코드: 12미적Ⅰ-02-09, 키워드: 방정식과 부등식, 문제해결, 방정식과 부등식, 근의 개수, 실근의 개수)",[12미적Ⅰ-02-09] $f(x) - g(x) = 0$ 이고 등호 한쪽에 상수 $a$ 만 홀로 남기는 새로운 함수식 $h(x)=a$ 세팅 및 
2016/2016.6모A_17.md,2,삼차함수 극값 위치와 수평선 교차 횟수로 미정계수의 정수값 개수 결정하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] $h(x)$ 그래프 위에 가로 수평선 $y=a$ 를 움직이면서 원점 오른쪽에서 두 번, 원점 왼쪽에서 한 번 만나는 높"
2016/2016.6모A_19.md,1,수열의 진술 과정을 따라 식의 모양 도출하기,12대수03-05,"키워드 미매칭 (코드: 12대수03-05, 키워드: 여러 가지 수열, 수열의 합, 계차수열, 군수열, 분수형)",[12대수03-05] 문맥을 읽고 윗줄에서 아랫줄로 넘어갈 때 사용된 연산 원리(로그) 및 알맞은 식 형태를 연역. $n=12$ 대입: $f(1
2016/2016.6모A_27.md,1,함수의 감소와 도함수의 부호 조건 파악하기,12미적Ⅰ-02-04,"키워드 미매칭 (코드: 12미적Ⅰ-02-04, 키워드: 미분법, 다항함수, 미분법, 곱의 미분, 다항함수)","[12미적Ⅰ-02-04] 주어진 함수 $f(x)$ 를 미분하여 도함수 $f'(x)$ 를 얻고, 이 도함수가 해당 구간 범위 내에서 항상 $0$ "
2016/2016.6모A_27.md,2,구한 감소 범위 속에 구간을 포함시켜 최댓값 찾기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] 목표 범위인 $(-a, a)$ 가 전체 감소 허용 스펙트럼인 $[-3, 3]$ 의 부분집합이 되기 위한 경계 범위를 구"
2016/2016.6모A_28.md,2,두 점을 이용하여 일차함수 식 세우고 값 대입하기,10공수2-03-02,"키워드 미매칭 (코드: 10공수2-03-02, 키워드: 합성함수, 합성함수)","[10공수2-03-02] 두 점 $(-5, 0)$ 과 $(-4, 3)$ 을 지나는 직선의 기울기를 수립한 후 기본형 $y=ax+b$ 에 대입하여"
2016/2016.6모A_20.md,2,조건 충족 순서쌍 탐색으로 a+b 최솟값 결정,10공수1-02-09,"키워드 미매칭 (코드: 10공수1-02-09, 키워드: 연립일차부등식, 연립일차부등식, 부등식, 범위)","[10공수1-02-09] $a \in \{1,...,9\}$, $b \in \{10,...,20\}$에서 $ab \geq 100$을 만족하는 순"
2016/2016.6모A_21.md,1,부등식 조건을 활용한 삼차함수의 인수 구성 및 대수적 식 도출,10공수1-01-03,"키워드 미매칭 (코드: 10공수1-01-03, 키워드: 인수분해, 인수분해, 공통인수)","[10공수1-01-03] 부등식의 성질에 따라 $f(x)$가 $x=-n$에서 부호 변화를 일으켜야 함을 파악하고, $x > -n$ 영역에서 함숫"
2016/2016.6모A_21.md,3,정수 조건 충족을 위한 매개변수의 최솟값 판별,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] 유리수 형태의 $a_n$에서 분모 $27$을 소거하기 위한 자연수 $n$의 배수 성질을 분석합니다.
2016/2016.6모A_29.md,3,특정 지점의 함숫값 산출 및 최종 수치 결과 도출,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] 앞서 분석한 교점 개수 규칙과 확정된 이차함수 식에 $t=3$을 대입하여 각각의 수치를 계산합니다.
2016/2016.6모A_30.md,2,매개변수 n의 변화에 따른 k값의 임계 수치 탐색,10공수1-03-01,"키워드 미매칭 (코드: 10공수1-03-01, 키워드: 합의 법칙, 곱의 법칙, 경우의 수, 합의 법칙, 곱의 법칙)","[10공수1-03-01] $n=2, 3, 4$일 때 $k$의 값을 순차적으로 대입하며 각 영역의 점 개수 합산량이 300을 넘어서는 순간을 포착"
2016/2016.6모A_30.md,3,산출된 함숫값의 곱을 통한 최종 수치 계산,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 개별 단계에서 얻어진 세 함숫값 $6, 5, 4$를 곱하여 최종 결과를 도출합니다."
2016/2016.9모A_11.md,2,정규분포를 표준화하여 확률 구하기,12확통03-06,"키워드 미매칭 (코드: 12확통03-06, 키워드: 표본평균, 모평균, 표본비율, 모비율, 표본평균)",[12확통03-06] $Z = \frac{\bar{X} - 평균}{표준편차}$ 공식 모델을 통해 구간을 표준정규분포 수치로 변환 후 표 판독
2016/2016.9모A_12.md,1,점의 중점 조건을 이용하여 미지수 방정식 풀기,12대수01-03,"키워드 미매칭 (코드: 12대수01-03, 키워드: 지수법칙의 활용, 밑의 조건, 지수법칙, 지수방정식, 지수부등식)","[12대수01-03] 점 $\mathrm{R}(k, 0)$, 점 $\mathrm{Q}(k, \log_2(k-2))$, 점 $\mathrm{P}("
2016/2016.9모A_12.md,2,좌표를 평면상에 배치하여 사각형의 넓이 구하기,10공수1-02-05,"키워드 미매칭 (코드: 10공수1-02-05, 키워드: 이차함수의 그래프, 직선의 위치 관계, 직선의 위치 관계, 교점, 이차함수의 그래프)","[10공수1-02-05] 두 로그 식의 $x$ 절편을 구해 $\mathrm{A}(1,0), \mathrm{B}(3,0)$ 을 찾고, 복잡한 사각"
2016/2016.9모A_17.md,2,연속 곱셈 소거 방식을 이용하여 일반항 구하기,12대수03-05,"키워드 미매칭 (코드: 12대수03-05, 키워드: 여러 가지 수열, 수열의 합, 계차수열, 군수열, 분수형)","[12대수03-05] 주어진 $f(n)$ 수식들에 해당하는 $n$ 을 1부터 하나하나 넣은 분수들을 늘어놓고, 위아래로 대각선 약분이 되는 연쇄"
2016/2016.9모A_19.md,1,조건식을 결합하여 특정 문자의 범위를 한정하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] 공통된 부분인 $a+b+c$ 모양을 묶음 치환하듯 한 덩어리로 취급하여 등식을 변형한 뒤, 부등식에 역으로 찔러넣어 계"
2016/2016.9모A_25.md,2,도함수에 특정 값을 대입하여 미정계수 찾기,12미적Ⅰ-02-04,"키워드 미매칭 (코드: 12미적Ⅰ-02-04, 키워드: 미분법, 다항함수, 미분법, 곱의 미분, 다항함수)","[12미적Ⅰ-02-04] 알아낸 도함수 $f'(x) = 2ax+1$ 식의 $x$ 자리에 $2$ 를 집어넣고, 그 결과가 $17$ 과 같다는 일차"
2016/2016.9모A_26.md,1,전체 비율 조건을 통해 특정 연령대 인원수 방정식 세우기,12확통03-01,"키워드 미매칭 (코드: 12확통03-01, 키워드: 확률변수, 확률분포, 확률변수, 확률분포, 이산확률변수)",[12확통03-01] $300$ 명의 $12\%$ 퍼센트 수치 연산을 통해 30대 인원수($300 \times 0.12 = 36$ 명)를 알아내
2016/2016.9모A_26.md,3,대입법으로 연립방정식을 풀어 두 미지수의 합 산출하기,10공수1-02-08,"키워드 미매칭 (코드: 10공수1-02-08, 키워드: 연립이차방정식, 연립이차방정식, 연립이차)","[10공수1-02-08] 대입법을 통해 문자 $a$ 자리에 $2b$ 를 집어넣고 $b$ 의 값을 도출한 후, 구하는 목표인 $a+b$ 산출"
2016/2016.9모A_21.md,2,구간별 우미분계수와 좌미분계수의 곱 조건에 따른 특이점 범주화,12미적Ⅰ-02-08,"키워드 미매칭 (코드: 12미적Ⅰ-02-08, 키워드: 그래프의 개형, 그래프의 개형, 개형, 오목, 볼록)","[12미적Ⅰ-02-08] 절댓값 함수의 미분 가능성 성질을 이용하여, 해당 조건이 만족되는 지점이 함숫값이 $0$이 되어 꺾이는 점($f(t)="
2016/2016.9모A_21.md,3,도함수의 영점 산출 및 모든 유효한 t 값의 합계 계산,12미적Ⅰ-02-07,"키워드 미매칭 (코드: 12미적Ⅰ-02-07, 키워드: 증가와 감소, 극대와 극소, 증가와 감소, 극대와 극소, 극대)","[12미적Ⅰ-02-07] $g'(x) = 4x^3 - 12x^2 + 8$의 모든 실근을 구하고, 앞서 구한 지점들과 합산하여 최종 결과를 산출합"
